State,date,metric_name,metric_value
AK,19930101,PRCP,25.90756303
AK,19930101,SNOW,31.12087912
AK,19930101,TAVG,-57.3
AK,19930101,TMAX,-36.04958678
AK,19930101,TMIN,-112.8861789
AK,19930102,PRCP,29.53389831
AK,19930102,SNOW,25.32978723
AK,19930102,TAVG,-131.3793103
AK,19930102,TMAX,-45.2
AK,19930102,TMIN,-127.8790323
AK,19930103,PRCP,12.07317073
AK,19930103,SNOW,7.263157895
AK,19930103,TAVG,-88.83333333
AK,19930103,TMAX,-63.58870968
AK,19930103,TMIN,-161.9918699
AK,19930104,PRCP,12.1496063
AK,19930104,SNOW,4.75
AK,19930104,TAVG,-45.1
AK,19930104,TMAX,-49.14393939
AK,19930104,TMIN,-145.3587786
AK,19930105,PRCP,18.28125
AK,19930105,SNOW,9.37
AK,19930105,TAVG,-1.966666667
AK,19930105,TMAX,-22.89312977
AK,19930105,TMIN,-93.54961832
AK,19930106,PRCP,36.89922481
AK,19930106,SNOW,18.65686275
AK,19930106,TAVG,-3.655172414
AK,19930106,TMAX,-4.892307692
AK,19930106,TMIN,-66.82307692
AK,19930107,PRCP,14.11811024
AK,19930107,SNOW,14.41176471
AK,19930107,TAVG,-5.133333333
AK,19930107,TMAX,-2.541353383
AK,19930107,TMIN,-79.90977444
AK,19930108,PRCP,7.330769231
AK,19930108,SNOW,4.225490196
AK,19930108,TAVG,-10.3
AK,19930108,TMAX,-17.73076923
AK,19930108,TMIN,-81.67424242
AK,19930109,PRCP,28.87401575
AK,19930109,SNOW,28.70707071
AK,19930109,TAVG,-48.24137931
AK,19930109,TMAX,-20.14728682
AK,19930109,TMIN,-91.68503937
AK,19930110,PRCP,5.775193798
AK,19930110,SNOW,5.069306931
AK,19930110,TAVG,-58.51724138
AK,19930110,TMAX,-34.79365079
AK,19930110,TMIN,-130.208
AK,19930111,PRCP,11.13953488
AK,19930111,SNOW,4.961165049
AK,19930111,TAVG,-52.25
AK,19930111,TMAX,-59.23846154
AK,19930111,TMIN,-141.2076923
AK,19930112,PRCP,5.916030534
AK,19930112,SNOW,6.252427184
AK,19930112,TAVG,-34.92592593
AK,19930112,TMAX,-53.03937008
AK,19930112,TMIN,-127.1705426
AK,19930113,PRCP,28.41538462
AK,19930113,SNOW,22.71568627
AK,19930113,TAVG,-43.85714286
AK,19930113,TMAX,-34.09090909
AK,19930113,TMIN,-122.3333333
AK,19930114,PRCP,25.70229008
AK,19930114,SNOW,30.38834951
AK,19930114,TAVG,-92.53571429
AK,19930114,TMAX,-19.98496241
AK,19930114,TMIN,-102.9022556
AK,19930115,PRCP,6.234848485
AK,19930115,SNOW,5.769230769
AK,19930115,TAVG,-128.7407407
AK,19930115,TMAX,-50.75572519
AK,19930115,TMIN,-152.0833333
AK,19930116,PRCP,35.01574803
AK,19930116,SNOW,42.74747475
AK,19930116,TAVG,-117.0740741
AK,19930116,TMAX,-62.78571429
AK,19930116,TMIN,-141.2913386
AK,19930117,PRCP,80.128
AK,19930117,SNOW,38.93877551
AK,19930117,TAVG,-133.8148148
AK,19930117,TMAX,-36.40944882
AK,19930117,TMIN,-116.015748
AK,19930118,PRCP,80.5078125
AK,19930118,SNOW,38.68
AK,19930118,TAVG,-186.2692308
AK,19930118,TMAX,-59.15625
AK,19930118,TMIN,-133.2519685
AK,19930119,PRCP,27.512
AK,19930119,SNOW,29.55882353
AK,19930119,TAVG,-278.6521739
AK,19930119,TMAX,-115.096
AK,19930119,TMIN,-191.2741935
AK,19930120,PRCP,12.73643411
AK,19930120,SNOW,16.64705882
AK,19930120,TAVG,-302.08
AK,19930120,TMAX,-142.7461538
AK,19930120,TMIN,-239.1705426
AK,19930121,PRCP,17.28461538
AK,19930121,SNOW,28.30769231
AK,19930121,TAVG,-317.8333333
AK,19930121,TMAX,-203.0551181
AK,19930121,TMIN,-260.7874016
AK,19930122,PRCP,12.22137405
AK,19930122,SNOW,16.58653846
AK,19930122,TAVG,-311.375
AK,19930122,TMAX,-209.1259843
AK,19930122,TMIN,-275.5826772
AK,19930123,PRCP,26.51145038
AK,19930123,SNOW,27.01904762
AK,19930123,TAVG,-241.9166667
AK,19930123,TMAX,-199.8688525
AK,19930123,TMIN,-264.2396694
AK,19930124,PRCP,6.224806202
AK,19930124,SNOW,7.970588235
AK,19930124,TAVG,-236.5416667
AK,19930124,TMAX,-201.0163934
AK,19930124,TMIN,-272.3333333
AK,19930125,PRCP,10.66153846
AK,19930125,SNOW,5.355769231
AK,19930125,TAVG,-202.5
AK,19930125,TMAX,-190.2890625
AK,19930125,TMIN,-260.484127
AK,19930126,PRCP,18.53076923
AK,19930126,SNOW,17.375
AK,19930126,TAVG,-146.4615385
AK,19930126,TMAX,-134.3984375
AK,19930126,TMIN,-219.2834646
AK,19930127,PRCP,28.81679389
AK,19930127,SNOW,17.01923077
AK,19930127,TAVG,-113.32
AK,19930127,TMAX,-89.33333333
AK,19930127,TMIN,-166.984252
AK,19930128,PRCP,49.98461538
AK,19930128,SNOW,24.95145631
